Text,Locus,Speaker,Addressee
Ovid Metamorphoses,  5.269-5.293,Muse,Minerva
Ovid Metamorphoses,  12.182-12.535,Nestor,Achilles Greeks
Ovid Metamorphoses,  12.383-12.384,Nestor,Dorylas
Ovid Metamorphoses,  12.542-12.576,Nestor,Tlepolemus
Ovid Metamorphoses,  12.169-12.175,Nestor,Achilles Greeks
Ovid Metamorphoses,  13.128-13.381,Odysseus,Achaeans Achilles Aias (son of Telamon) Pelasgians
Ovid Metamorphoses,  13.168-13.169,Odysseus,Achilles as girl
Ovid Metamorphoses,  10.17-10.39,Orpheus,Dis Persephone
Ovid Metamorphoses,  10.148-10.739,Orpheus,animals birds Calliope Hyacinthus
Ovid Metamorphoses,  13.837-13.837,Polyphemus,Polyphemus
Ovid Metamorphoses,  14.192-14.197,Polyphemus,Greeks
Ovid Metamorphoses,  13.789-13.869,Polyphemus,Galatea
Ovid Metamorphoses,  15.75-15.478,Pythagoras,people
Ovid Metamorphoses,  8.90-8.94,Scylla (daughter of Nisus),Minos
Ovid Metamorphoses,  8.44-8.80,Scylla (daughter of Nisus),Scylla (daughter of Nisus)
Ovid Metamorphoses,  8.108-8.142,Scylla (daughter of Nisus),"Minos, Nisus (king)"
Ovid Metamorphoses,  14.318-14.434,servant of Circe,Macareus
Ovid Metamorphoses,  6.328-6.328,Theban,old altar
Ovid Metamorphoses,  6.317-6.381,Theban,Thebans
Ovid Metamorphoses,  4.31-4.31,Theban women,Bacchus
Ovid Metamorphoses,  7.433-7.450,Thebans,Theseus
Ovid Metamorphoses,  10.560-10.707,Venus,Adonis
Ovid Metamorphoses,  4.532-4.538,Venus,Neptune
Ovid Metamorphoses,  10.553-10.557,Venus,Adonis
Ovid Metamorphoses,  10.724-10.731,Venus,Fates Persephone
Ovid Metamorphoses,  10.553-10.557,Venus,Adonis
Ovid Metamorphoses,  10.724-10.731,Venus,Fates Persephone
Ovid Metamorphoses,  15.765-15.778,Venus,gods
Ovid Metamorphoses,  14.586-14.591,Venus,Jupiter
Ovid Metamorphoses,  10.543-10.552,Venus,Adonis
Ovid Metamorphoses,  5.365-5.379,Venus,Cupid
Ovid Metamorphoses,  5.365-5.379,Venus,Cupid
Ovid Metamorphoses,  10.230-10.234,Venus,Venus
